Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.17,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)c3cc(C)on3)ccc2OC[C@H](C)N(CC2CC2)C[C@@H]1C,0.15,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O,0.43,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3ccccc3C(=O)N(C)C)cc2OC1CN(C)C(=O)CCN(C)C,0.25,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)CCN3CCOCC3)c2OC1CN(C)Cc1cccc(C(=O)O)c1
C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.43,CCCN(C)C[C@H]1Oc2cc(C#Cc3cccc(OC)c3)ccc2S(=O)(=O)N(C[C@H]1C)[C@@H](C)CO,0.04,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,0.44,CC1CN(C(C)CO)S(=O)(=O)c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2OC1CN(C)C(=O)CCCN(C)C,0.09,Nc1cc(=O)n(Cc2c(F)cc(F)c(F)c2F)c(=O)[nH]1
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Cc3cccnc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.2,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2C#N)OCc3ccccc3-c4ccccc4C1=O,0.1,O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12,0.5,Cc1ccccc1-c1ccc2c(c1)OC(CN(C)Cc1cccnc1)C(C)CN(C(C)CO)S2(=O)=O,0.09,Cc1nn(C)cc1-c1cc2nccc(N3CCN(C)CC3)n2n1
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Cc3cccnc3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.39,COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(ccc3S(=O)(=O)N(C[C@@H]2C)[C@@H](C)CO)c4cccc(c4)C(=O)N(C)C)cc1,0.12,CNCCCCOc1ccccc1Cc1ccccc1,0.43,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3cccc(C(=O)N(C)C)c3)cc2OC1CN(C)CC1CC1,0.16,CC(C)NC(=O)NC1C=CC(CC(=O)NCc2ccc(-c3ccccc3)cc2)OC1CO
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Cc3cccnc3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.26,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O,0.22,COc1ccc(NC(=O)N(C)C[C@@H]2OCc3cn(CCCC(=O)N(C[C@@H]2C)[C@@H](C)CO)nn3)c(OC)c1,0.39,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3cccc(C(=O)N(C)C)c3)cc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.15,Cc1c(C)c(C)c(NC(=O)Nc2cccc3c2C2(CC(=O)N(C)C)OCC(CO)CC2O3)c(Cl)c1C
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Cc3cccnc3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.51,COCC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@H]1C)[C@@H](C)CO)c3ccccc3F,0.4,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cncnc2)Oc3cc(C#CC4CCCC4)ccc3S1(=O)=O,0.41,CC(C)NC(=O)Nc1ccc2c(c1)OC(CN(C)Cc1ccc(C(F)(F)F)cc1)C(C)CN(C(C)CO)S2(=O)=O,0.01,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.38,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4,0.12,Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C,0.5,CC1CN(C(C)CO)S(=O)(=O)c2ccc(-c3cccnc3)cc2OC1CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1,0.13,COC1CCN(C)c2c(NS(=O)(=O)c3c(C)c(C)c(C)c(C)c3C)cccc2OC(=O)C(C)C(C)N(C)C1
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.47,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O,0.11,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1,0.48,CC(C)NC(=O)N(C)CC1Oc2cc(-c3ccccc3C(=O)N(C)C)ccc2S(=O)(=O)N(C(C)CO)CC1C,0.12,CC(C)(C)CCCC(=O)Nc1ccccc1C(=O)NCCCN1CCOCC1
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1,0.14,COc1ccc(NC(=O)N[C@H]2CC[C@H](CC(=O)NC3CCC3)O[C@H]2CO)cc1,0.12,Cc1nccn1CC1CCc2c(C1=O)c1ccccc1n2C,0.54,CC(C)NC(=O)N(C)CC1Oc2cc(-c3ccc(F)cc3)ccc2S(=O)(=O)N(C(C)CO)CC1C,0.14,CCNCCCNC(=O)CC1OCC2(CCN(Cc3ccc(F)cc3)C2)C(C(=O)O)=C1C(O)C(O)CO
C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.27,COc1ccc(CN(C)C[C@@H]2Oc3ccc(NC(=O)c4ccncc4)cc3CC(=O)N(C[C@@H]2C)[C@@H](C)CO)cc1,0.14,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,0.41,Cc1ccccc1-c1ccc2c(c1)OC(CN(C)C(=O)c1cc(-c3ccccc3)on1)C(C)CN(C(C)CO)S2(=O)=O,0.17,N#CC1C(c2ccc(C=Cc3ccccc3)cc2)C(CO)N1C(=O)c1ccccc1F
C1CN2CC(N=C2S1)c1ccccc1,0.17,CN1CCC(CC1)=C1c2ccsc2CCc2ccccc12,0.15,CS(=O)(=O)c1ccc(cc1)C1=C(C(=O)OC1)c1ccccc1,0.14,CC(C)(C)c1ccc(C(=O)NC2C(O)CC(O)CC2C(=O)NCc2ccccc2)cc1,0.11,COC1CN(C)C(=O)c2cc(NC(=O)c3cccc(F)c3)ccc2OCC(C)NCC1C
CC(=CCOc1c2occc2cc3ccc(=O)oc13)C,0.06,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.05,CCCC(CCC)C(O)=O,0.13,COc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)CC(OC)C(C)CN(CCC(F)(F)F)C(C)CO3)cc1,0.1,CNC(=O)C12Cn3c(c(C)ccc3=O)C1CC(CO)N2Cc1c(F)c(F)c(F)c(F)c1F
CC(=O)N1[C@@H]2Cn3c(ccc(-c4cccnc4)c3=O)[C@H]1[C@H]([C@@H]2CO)C(=O)N1CCc2ccccc2C1,0.18,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO,0.17,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,0.21,CC1CN(C(C)CO)C(=O)c2cc(-c3cccnc3)cnc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.11,Cc1nc(C)c(C(=O)CCC(=O)O)c(C)c1CCNC(=O)c1c(F)cccc1F
CC(=O)N1[C@H]2Cn3c(ccc(-c4cccnc4)c3=O)[C@@H]1[C@@H]([C@H]2CO)C(=O)N1CCc2ccccc2C1,0.14,CN(C)CC(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)N4CCCCC4)O[C@@H]3CO)c2c1,0.12,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C1(C)C)c1ccc(C#N)c(c1)C(F)(F)F,0.22,CCCNC(=O)CC1CCC2C(COCC(O)CN2Cc2ccc(-c3cccnc3)cc2)O1,0.15,CCCNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3OC2C(CO)O1
CC(=O)N[C@@H](CSCC=C(/C)CCC=C(/C)CCC=C(C)C)C(O)=O,0.04,CC1(C)C(CCC2(C)C3CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C=C)C=C3CCC12)O[C@@H]5O[C@@H](CO)[C@H](O)[C@H]5O,0.04,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0.09,CC(C)(C)C(NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)c1ccc(O)cc1)C(=O)O,0.08,CC(C)NC(=O)C1=CC(c2ccncc2)N2CC3C(C(=O)NCc4ccc(F)cc4)C(CO)C(C2=C1)N3S(=O)C(C)(C)C
CC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(F)cc1N,0.66,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N,0.15,Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,0.21,CC(NC(=O)CC1CC2c3cc(NC(=O)c4ccncc4)ccc3OC2C(CO)O1)c1ccccc1,0.16,CN(C)C(=O)CC12OCCCC1(CO)c1cccc(NC(=O)Cc3ccncc3)c1O2
CC(=O)Nc1nnc(s1)S(N)(=O)=O,0.07,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0.07,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.09,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OCC1C,0.06,CN1CC(=O)COC2CC(CC(=O)NC3CCCCC3)COC2C1
CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@]21C,0.05,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,0.09,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,0.13,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(C(=O)c2ccccc2)CC1C,0.13,CN1CC2C(CC(CC(=O)NCCCN3CCOCC3)OC2CO)Oc2c(NS(C)(=O)=O)cccc2C1=O
CC(=O)c1c(C)[nH]c(C(=O)Nc2ccccc2C)c1C,0.06,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,0.1,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.16,CC(C)(C)CCCNC(=O)CCNc1ncnc2ccccc12,0.16,CCc1ccc2c(c1)c1[nH]c(=O)ccc1n2C
CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)/C=C/c3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O,0.09,CC(C)(C)c1cc(C=C(C#N)[N+]#[C-])cc(c1O)C(C)(C)C,0.09,Clc1cc(Cl)c(OCC(=O)NN=Cc2ccc[nH]2)c(Cl)c1,0.14,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)Cc5ccccc5)ccc4OC3C(CO)O2)cc1,0.03,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCc1ccccc1
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,0.69,Cc1cc(ccc1OCCOCC[N+](C)(C)Cc1ccccc1)C(C)(C)CC(C)(C)C,0.69,Cc1cc(ccc1OCCOCC[N+](C)(C)Cc1ccccc1)C(C)(C)CC(C)(C)C,0.23,CC(C)(C)NCCOc1ccc(C(=O)Nc2ccc(C(=O)O)cc2)cc1,0.02,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCN(C)C
CC(C)(C)[C@H](NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C#N,0.14,COc1ccc(Cl)cc1NC(=O)c1cc(on1)C1CC1,0.08,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1,0.13,CCNC(=O)CC1CCC(NC(=O)c2cccnc2)C(CO)O1,0.08,CNCC1OC2(CN(C)CC3CCOCC3)C(=CNCC(=O)C3(CCOCC3)CNC(=O)C1=O)c1ccccc1N2C
CC(C)(C)[S@@](=O)N1Cc2cc(nc(c2[C@H]1CCO)-c1cccc(c1)-c1ccc(cc1)C#N)C(=O)NCCN1CCCCC1,0.18,COc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@@H](CO)N2[C@@H]1CN(Cc1ccccc1)CC2=O,0.14,CNC[C@H]1Oc2ncc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)c3ccccc3F,0.25,CN(C)c1ccc2c(c1)C1CC(CC(=O)NCCN3CCCCC3)OC(CO)C1O2,0.15,CN(C)CCCN(Cc1cc(C(F)(F)F)ccc1C(F)(F)F)S(=O)(=O)c1cccc(C(=O)c2cccc(C(=O)O)c2)c1
CC(C)(C)[S@](=O)N1Cc2cc(nc(c2[C@@H]1CCO)-c1cccc(c1)-c1ccc(cc1)C#N)C(=O)NCCN1CCCCC1,0.12,CN1CCN(CC1)C(=O)C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2Cc2cccc(F)c2)O1,0.25,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,0.19,COc1cc(C(C)(C)C)ccc1-c1ccc(C(=O)Nc2ccccc2C)cc1,0.11,CN(C)C(=O)CC1CCC2C(COc3ccc(NC(=O)CCC(F)(F)F)cc3C(=O)N2C)O1
CC(C)(C)c1ccc2cc(C#N)c(C#N)cc2c1,0.09,Brc1ccccc1C(=O)Nc2ccccc2,0.15,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,0.16,CC(C)(C)c1ccc(C(=O)c2cccc(C(=O)NCCCNCCCC(=O)O)c2)cc1,0.1,COc1ccccc1-c1nn2cccc(Cl)c2c1-c1ccco1
CC(C)(ON=C(C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,0.07,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,0.07,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,0.14,CC(NC(=O)CC1CCC(NC(=O)c2cccnc2)C(CO)O1)c1ccccc1,0.04,O=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC1CCCC(C(=O)O)C1
CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.15,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OC[C@@H](C)N(Cc2cccnc2)C[C@H]1C,0.1,COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,0.27,CC1CN(C(C)CO)S(=O)(=O)c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2OC1CN(C)Cc1cccnc1,0.08,CNCC(=O)Nc1ccccc1C(C)(C)C
CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,0.28,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3CC1=O,0.13,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.32,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.1,COc1ccccc1CNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3OC2C(CO)O1
CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.2,COc1ccccc1c2ccc3c(O[C@H](CN(C)S(=O)(=O)c4ccc(F)cc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2,0.05,N[C@@H]1CONC1=O,0.32,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)O2,0.09,COc1ccc(C(=O)NC2C=CC(CC(=O)NCC3CCCCC3)OC2CO)cc1
CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1,0.35,CNC[C@@H]1Oc2ncc(/C=C/c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.12,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.27,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)CCC(F)(F)F)ccc2OC1CN(C)Cc1cccc(C(=O)O)c1,0.09,Cc1c(C)c(C)c(NC(=O)CCC(=O)NCC(O)CC(=O)O)c(C)c1C
CC(C)C#Cc1cnc2O[C@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.2,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)C2CCC2)Oc3cc(ccc3S1(=O)=O)c4ccc(cc4)C(=O)N(C)C,0.11,CCCCNc1c(C(=O)OCC)c(C)nc2n(CC)ncc12,0.31,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccccc1C(F)(F)F)O2,0.14,C=CCCCCC(=O)NC1C(CO)OC(=O)C(=O)C1c1ccccc1C(C)C
CC(C)C#Cc1cnc2O[C@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,0.07,Fc1cccc(F)c1S(=O)(=O)N2CCN(CC2)C(=O)c3ccc4OCCOc4c3,0.09,CN1CCN2C(C1)c1ccccc1Cc1cccnc21,0.33,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.11,C=CCN1Cc2c(cc(C(=O)OC)n(CCC)c2=O)C1=O
CC(C)C#Cc1cnc2O[C@H](CN(C)Cc3cncnc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.25,CC(C)NC(=O)Nc1ccc2O[C@H](CN(C)S(=O)(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)C(=O)Cc2c1,0.07,COc1ccccc1OCC(O)COC(N)=O,0.33,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.23,COc1cccc(S(=O)(=O)N(C)CC2OCCCCC(C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C(=O)N(C(C)CO)CC2C)c1
